indicator_id,category,label,value_kind,unit,preferred_scale,mvp_priority,interpretation_guardrail
POP_URBAN_RESIDENT_RATE,population,常住人口城镇化率,level,percent,county|prefecture,P0,不得替代市民化质量
POP_URBAN_HUKOU_RATE,population,户籍人口城镇化率,level,percent,county|prefecture,P0,须与常住口径并列
POP_HUKOU_RESIDENT_GAP,population,户籍与常住城镇化率差距,gap,percentage_point,county|prefecture,P0,差距缩小不必然代表福利改善
POP_STABLE_SETTLEMENT,population,稳定市民化率,rate,percent,household|county,P0,需定义稳定就业居住期限
POP_RETURN_FLOW,population,返流率,rate,percent,household|county,P0,区分主动返乡与被动返流
LAB_EMPLOYMENT_RATE,employment,就业率,rate,percent,household|county,P0,区分劳动年龄人口口径
LAB_STABLE_JOB_RATE,employment,稳定就业率,rate,percent,household|county,P0,稳定定义必须版本化
LAB_SKILL_MATCH,employment,技能岗位匹配率,rate,percent,household|county,P0,不得由行业名称直接推断技能
INC_DISPOSABLE,income,家庭可支配收入,level,currency_per_year,household,P0,价格基期必须一致
HOU_BURDEN,housing,住房负担率,ratio,percent,household,P0,租购口径分列
HOU_AFFORDABLE_COVERAGE,housing,保障性住房覆盖率,rate,percent,household|county,P0,资格与实际入住分开
SER_EDU_UTILIZATION,service,教育容量利用率,ratio,percent,zone|county,P0,超过100%必须触发拥挤
SER_HEALTH_UTILIZATION,service,医疗容量利用率,ratio,percent,zone|county,P0,床位与诊疗能力不可等同
SER_NON_HUKOU_ACCESS,service,非户籍常住人口服务可及率,rate,percent,household|county,P0,资格容量距离同时满足
SER_ACCESS_GAP,service,群体服务可及差距,gap,percentage_point,household|county,P0,报告最差群体
MOB_JOB_ACCESS,spatial,就业可达性,index,index,zone|metropolitan_area,P1,需声明时间阈值和岗位权重
MOB_COMMUTE_TIME,spatial,平均通勤时间,level,minute,household|zone,P1,同时报告分位数
SPA_POP_JOB_MATCH,spatial,人口岗位空间匹配度,index,index,zone|county,P1,不以单一综合分替代分布
FIS_NET_COST,fiscal,政策净财政成本,flow,currency_per_year,county,P0,含运营维护和转移支付
FIS_COST_PER_STABLE_SETTLER,fiscal,单位稳定市民化成本,ratio,currency_per_person,county,P0,分母不得使用短期迁入
FIS_DEBT_STRESS,fiscal,债务压力,ratio,percent,county,P0,阈值必须由用户或规则给定
LAND_NEW_USE,land,新增建设用地,flow,area,zone|county,P0,与存量盘活分开
LAND_STOCK_REUSE,land,存量建设用地盘活,flow,area,zone|county,P0,不得把规划额度当实际使用
LAND_PER_RESIDENT,land,人均城镇建设用地,level,area_per_person,county,P0,边界与人口口径一致
EQ_WORST_GROUP,equity,最差群体结果,index,index,household|county,P0,必须说明群体划分
RES_SERVICE_DISRUPTION,resilience,风险事件服务中断,flow,person_day,zone|county,P2,依赖明确灾害情景
RES_RECOVERY_TIME,resilience,恢复时间,duration,day,zone|county,P2,不超出引擎适用范围
