action_module,policy_lever,affected_agents,mechanism,primary_outcomes,main_constraints,mvp_priority
citizenization,settlement_threshold,household|local_government,reduces institutional migration cost,settlement|stable_residence,service_capacity|housing,P0
citizenization,resident_based_service_eligibility,household|service_facility,expands effective access for non-hukou residents,service_coverage|retention,capacity|operating_cost,P0
citizenization,skills_and_employment_support,household|firm,improves job matching and stable income,employment|income|retention,job_demand|training_quality,P0
citizenization,affordable_housing,household|local_government,reduces housing burden and instability,housing_burden|retention,supply|fiscal_cost,P0
citizenization,citizenization_transfer,local_government,links fiscal resources to absorbed population,net_fiscal_cost|service_capacity,transfer_rule|data_quality,P0
potential_region,industrial_job_creation,firm|household,raises local labor demand and wage opportunities,jobs|income|migration,skill_match|market_demand,P0
potential_region,county_service_expansion,service_facility|local_government,raises public service capacity,coverage|congestion,capital_budget|operating_cost,P0
potential_region,land_capacity_bundle,local_government,combines stock reuse and limited expansion,land_efficiency|capacity,development_boundary|ecology,P0
metropolitan_area,commuting_connectivity,household|firm,reduces travel friction and widens labor market,accessibility|employment|commute,transport_capacity|cost,P1
metropolitan_area,service_mutual_recognition,household|local_government,allows cross-jurisdiction service use,service_access|equity,cost_sharing|governance,P1
urban_renewal,stock_neighborhood_upgrade,household|local_government,improves existing housing and local services,quality_of_life|retention,capital_cost|displacement,P1
urban_resilience,life_line_and_drainage_upgrade,local_government|service_facility,reduces hazard exposure and service disruption,risk_loss|recovery,fiscal_cost|hazard_uncertainty,P2
shrinking_adaptation,compact_service_reconfiguration,household|service_facility,concentrates minimum services while controlling expansion,coverage|idle_capacity|fiscal_cost,access_loss|equity,P1
